,idiom,pinyin,explanation
87,日新月异,"['ri', 'xin', 'yue', 'yi']",新更新；异不同。每天都在更新，每月都有变化。指发展或进步迅速，不断出现新事物、新气象。
88,取而代之,"['qu', 'er', 'dai', 'zhi']",指夺取别人的地位而由自己代替。现也指以某一事物代替另一事物。
89,莫名其妙,"['mo', 'ming', 'qi', 'miao']",说不出其中的奥妙。指事情很奇怪，说不出道理来。
90,名列前茅,"['ming', 'lie', 'qian', 'mao']",比喻名次列在前面。
91,排忧解难,"['pai', 'you', 'jie', 'nan']",排除忧愁，解除困难。
92,各式各样,"['ge', 'shi', 'ge', 'yang']",指多种不同的式样、种类或方式。
93,玩忽职守,"['wan', 'hu', 'zhi', 'shou']",不认真、不负责地对待本职工作。
94,任重道远,"['ren', 'zhong', 'dao', 'yuan']",任负担；道路途。担子很重，路很远。比喻责任重大，要经历长期的奋斗。
95,奋发有为,"['fen', 'fa', 'you', 'wei']",奋发精神振作。精神振作，有所作为。
96,举足轻重,"['ju', 'zu', 'qing', 'zhong']",只要脚移动一下，就会影响两边的轻重。指处于重要地位，一举一动都足以影响全局。
97,比比皆是,"['bi', 'bi', 'jie', 'shi']",比比一个挨一个。到处都是，形容极其常见。
98,卓有成效,"['zhuo', 'you', 'cheng', 'xiao']",卓卓越，高超。有突出的成绩和效果。
99,落地生根,"['luo', 'di', 'sheng', 'gen']",比喻长期安家落户或切切实实、一心一意地做好所从事的工作。
100,势在必行,"['shi', 'zai', 'bi', 'xing']",行做。从事情发展的趋势看，必须采取行动。
101,史无前例,"['shi', 'wu', 'qian', 'li']",历史上从来没有过的事。指前所未有。
102,理所当然,"['li', 'suo', 'dang', 'ran']",当然应当如此。按道理应当这样。
103,耳熟能详,"['er', 'shu', 'neng', 'xiang']",指听得多了，能够说得很清楚、很详细。
104,由来已久,"['you', 'lai', 'yi', 'jiu']",由来从发生到现在。事情从发生到现在已经过了很长时间了。
105,一模一样,"['yi', 'mu', 'yi', 'yang']",样子完全相同。
106,厉行节约,"['li', 'xing', 'jie', 'yue']",厉严格。严格地实行节约。
107,恶性循环,"['e', 'xing', 'xun', 'huan']",许多坏事互为因果，循环不已，越来越坏。
108,铤而走险,"['ting', 'er', 'zou', 'xian']",铤急走的样子；走险奔赴险处。指在无路可走的时候采取冒险行动。
109,举世瞩目,"['ju', 'shi', 'zhu', 'mu']",全世界的人都注视着。
110,再接再厉,"['zai', 'jie', 'zai', 'li']",接接战；厉磨快，引伸为奋勉，努力。指公鸡相斗，每次交锋以前先磨一下嘴。比喻继续努力，再加一把劲。
111,足不出户,"['zu', 'bu', 'chu', 'hu']",脚不跨出家门。
112,翻天覆地,"['fan', 'tian', 'fu', 'di']",覆翻过来。形容变化巨大而彻底。也指闹得很凶。
113,非同寻常,"['fei', 'tong', 'xun', 'chang']",寻常平常。形容人和事物很突出，不同于一般。
114,挨家挨户,"['ai', 'jia', 'ai', 'hu']",每家每户，户户不漏。挨，依次，顺次。
115,不翼而飞,"['bu', 'yi', 'er', 'fei']",翼翅膀。没有翅膀却飞走了。比喻物品忽然丢失。也比喻事情传播得很迅速。
116,参差不齐,"['cen', 'ci', 'bu', 'qi']",参差长短、高低不齐。形容水平不一或很不整齐。
117,水涨船高,"['shui', 'zhang', 'chuan', 'gao']",水位升高，船身也随之浮起。比喻事物随着它所凭借的基础的提高而增长提高。
118,沸沸扬扬,"['fei', 'fei', 'yang', 'yang']",沸沸水翻滚的样子；扬扬喧闹、翻动的样子。象沸腾的水一样喧闹。形容人声喧闹。
119,先发制人,"['xian', 'fa', 'zhi', 'ren']",发开始行动；制控制，制服。原指丢动手的牌主动地位，可以控制对方◇也泛指争取主动，先动手来制服对方。
120,轩然大波,"['xuan', 'ran', 'da', 'bo']",轩然波涛高高涌起的样子。高高涌起的波涛。比喻大的纠纷或乱子。
121,土生土长,"['tu', 'sheng', 'tu', 'zhang']",当地生长的。
122,出人意料,"['chu', 'ren', 'yi', 'liao']",出乎人们意料之外。
123,统筹兼顾,"['tong', 'chou', 'jian', 'gu']",统筹通盘筹划；兼本义为一手执两禾，引伸为同时进行几桩事情或占有几样东西；顾照顾。统一筹划，全面照顾。
124,明察暗访,"['ming', 'cha', 'an', 'fang']",从明里细心察看，从暗里询问了解。指用各种方法进行调查研究。
125,刻不容缓,"['ke', 'bu', 'rong', 'huan']",刻指短暂的时间；缓延迟。指形势紧迫，一刻也不允许拖延。
126,融为一体,"['rong', 'wei', 'yi', 'ti']",融合为整体。比喻几种事物关系密切，配合自然，如同一个整体。
127,焕然一新,"['huan', 'ran', 'yi', 'xin']",焕然鲜明光亮的样子。改变旧面貌，出现崭新的气象。
128,以身作则,"['yi', 'shen', 'zuo', 'ze']",则准则，榜样。以自己的行动做出榜样。
129,潜移默化,"['qian', 'yi', 'mo', 'hua']",潜暗中同，不见形迹；默不说话，没有声音。指人的思想或性格不知不觉受到感染、影响而发生了变化。
130,风口浪尖,"['feng', 'kou', 'lang', 'jian']",比喻激烈尖锐的社会斗争前哨。
131,有条不紊,"['you', 'tiao', 'bu', 'wen']",紊乱。形容有条有理，一点不乱。
132,归根结底,"['gui', 'gen', 'jie', 'di']",归结到根本上。同归根结蒂”。
133,发扬光大,"['fa', 'yang', 'guang', 'da']",发扬发展，提倡；光大辉煌而盛大。使好的作风、传统等得到发展和提高。
134,旗帜鲜明,"['qi', 'zhi', 'xian', 'ming']",本指军旗耀眼，军容整齐。现比喻立场、观点、态度等十分明确。
135,万无一失,"['wan', 'wu', 'yi', 'shi']",失差错。指非常有把握，绝对不会出差错。
136,可见一斑,"['ke', 'jian', 'yi', 'ban']",斑杂色的花纹或斑点。比喻见到事物的一少部分也能推知事物的整体。
137,一视同仁,"['yi', 'shi', 'tong', 'ren']",原指圣人对百姓一样看待，同施仁爱◇多表示对人同样看待，不分厚薄。
138,相辅相成,"['xiang', 'fu', 'xiang', 'cheng']",辅辅助。指两件事物互相配合，互相辅助，缺一不可。
139,淋漓尽致,"['lin', 'li', 'jin', 'zhi']",淋漓形容湿淋淋往下滴，比喻尽情，酣畅；尽致达到极点。形容文章或说话表达得非常充分、透彻，或非常痛快。
140,耳目一新,"['er', 'mu', 'yi', 'xin']",耳目指见闻。听到的、看到的跟以前完全不同，使人感到新鲜。
141,不了了之,"['bu', 'liao', 'liao', 'zhi']",了了结，结束。用不了结的办法去了结。指把事情放在一边不管，就算完事。
142,热火朝天,"['re', 'huo', 'chao', 'tian']",形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。
143,有目共睹,"['you', 'mu', 'gong', 'du']",睹看见。指非常明显，谁都看得见。
144,久而久之,"['jiu', 'er', 'jiu', 'zhi']",经过了相当长的时间。
145,视而不见,"['shi', 'er', 'bu', 'jian']",指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。
146,自强不息,"['zi', 'qiang', 'bu', 'xi']",自强自己努力向上；息停止。自觉地努力向上，永不松懈。
147,以权谋私,"['yi', 'quan', 'mou', 'si']",以凭借；权权力；谋谋求；私私利。用手中的权力牟取私利。
148,继往开来,"['ji', 'wang', 'kai', 'lai']",继继承；开开辟。继承前人的事业，开辟未来的道路。
149,赞不绝口,"['zan', 'bu', 'jue', 'kou']",不住口地称赞。
150,义不容辞,"['yi', 'bu', 'rong', 'ci']",容允许；辞推托。道义上不允许推辞。
151,未雨绸缪,"['wei', 'yu', 'chou', 'mou']",绸缪紧密缠缚。天还没有下雨，先把门窗绑牢。比喻事先做好准备工作。
152,一举一动,"['yi', 'ju', 'yi', 'dong']",指人的每一个动作。
153,绳之以法,"['sheng', 'zhi', 'yi', 'fa']",根据法律制裁。
154,尽如人意,"['jin', 'ru', 'ren', 'yi']",尽全；如依照，符合。事情完全符合人的心意。
155,有所作为,"['you', 'suo', 'zuo', 'wei']",可以做事情，并能取得较大的成绩。
156,对症下药,"['dui', 'zheng', 'xia', 'yao']",针对病症用药。比喻针对事物的问题所在，采取有效的措施。
157,出谋划策,"['chu', 'mou', 'hua', 'ce']",谋计谋；划筹划。制定计谋策略。指为人出主意。
158,四面八方,"['si', 'mian', 'ba', 'fang']",指各个方面或各个地方。
159,首当其冲,"['shou', 'dang', 'qi', 'chong']",当承当，承受；冲要冲，交通要道。比喻最先受到攻击或遭到灾难。
160,马不停蹄,"['ma', 'bu', 'ting', 'ti']",比喻不停顿地向前走。
161,不以为然,"['bu', 'yi', 'wei', 'ran']",然是，对。不认为是对的。表示不同意或否定。
162,必由之路,"['bi', 'you', 'zhi', 'lu']",由经由。必定要经过的道路。泛指事物必须遵循的规律或做事必须遵守的法则。
163,所作所为,"['suo', 'zuo', 'suo', 'wei']",指人所做的事。
164,一蹴而就,"['yi', 'cu', 'er', 'jiu']",蹴踏；就成功。踏一步就成功。比喻事情轻而易举，一下子就成功。
165,人满为患,"['ren', 'man', 'wei', 'huan']",因人多造成了困难。
166,身体力行,"['shen', 'ti', 'li', 'xing']",身亲身；体体验。亲身体验，努力实行。
167,精益求精,"['jing', 'yi', 'qiu', 'jing']",精完美，好；益更加∶了还求更好。
168,大吃一惊,"['da', 'chi', 'yi', 'jing']",形容对发生的事感到十分意外。
169,竭尽全力,"['jie', 'jin', 'quan', 'li']",竭尽用尽。用尽全部力量。
170,拭目以待,"['shi', 'mu', 'yi', 'dai']",拭擦；待等待。擦亮眼睛等着瞧。形容期望很迫切。也表示确信某件事情一定会出现。
171,无家可归,"['wu', 'jia', 'ke', 'gui']",没有家可回。指流离失所。
172,哭笑不得,"['ku', 'xiao', 'bu', 'de']",哭也不好，笑也不好。形容很尴尬。
173,铺张浪费,"['pu', 'zhang', 'lang', 'fei']",铺张讲究排场。为了场面好看而浪费人力物力。
174,不知所措,"['bu', 'zhi', 'suo', 'cuo']",措安置，处理。不知道怎么办才好。形容处境为难或心神慌乱。
175,座无虚席,"['zuo', 'wu', 'xu', 'xi']",虚空。座位没有空着的。形容出席的人很多。
176,可乘之机,"['ke', 'cheng', 'zhi', 'ji']",可以利用的时机。
177,琳琅满目,"['lin', 'lang', 'man', 'mu']",琳琅精美的玉石。满眼都是珍贵的东西。形容美好的事物很多。
178,卷土重来,"['juan', 'tu', 'chong', 'lai']",卷土人马奔跑时尘土飞卷。比喻失败之后，重新恢复势力。
179,铺天盖地,"['pu', 'tian', 'gai', 'di']",一下子到处都是。形容来势很猛。
180,理直气壮,"['li', 'zhi', 'qi', 'zhuang']",理直理由正确、充分；气壮气势旺盛。理由充分，说话气势就壮。
181,面目全非,"['mian', 'mu', 'quan', 'fei']",非不相似。样子完全不同了。形容改变得不成样子。
182,忧心忡忡,"['you', 'xin', 'chong', 'chong']",忡忡忧虑不安的样子。形容心事重重，非常忧愁。
183,在所难免,"['zai', 'suo', 'nan', 'mian']",免避免。指由于某种限制而难于避免。
184,燃眉之急,"['ran', 'mei', 'zhi', 'ji']",燃烧。火烧眉毛那样紧急。形容事情非常急迫。
185,不绝于耳,"['bu', 'jue', 'yu', 'er']",绝断。声音在耳边不断鸣响。
186,津津乐道,"['jin', 'jin', 'le', 'dao']",津津兴趣浓厚的样子；乐道喜欢谈讲≤有兴趣地说个不停。
187,立竿见影,"['li', 'gan', 'jian', 'ying']",在阳光下把竿子竖起来，立刻就看到影子。比喻立刻见到功效。
188,议论纷纷,"['yi', 'lun', 'fen', 'fen']",形容意见不一，议论很多。
189,与日俱增,"['yu', 'ri', 'ju', 'zeng']",与跟，和。随着时间一天天地增长。形容不断增长。
190,衣食住行,"['yi', 'shi', 'zhu', 'xing']",泛指穿衣、吃饭、住房、行路等生活上的基本需要。
191,急功近利,"['ji', 'gong', 'jin', 'li']",功成功；近眼前的。急于求成，贪图眼前的成效和利益。
192,根深蒂固,"['gen', 'shen', 'di', 'gu']",比喻基础深厚，不容易动摇。
193,博大精深,"['bo', 'da', 'jing', 'shen']",博广，多。形容思想和学识广博高深。
194,大有可为,"['da', 'you', 'ke', 'wei']",事情有发展前途，很值得做。
195,轰轰烈烈,"['hong', 'hong', 'lie', 'lie']",轰轰象声词，形容巨大的声响；烈烈火焰炽盛的样子。形容事业的兴旺。也形容声势浩大，气魄宏伟。
196,惊心动魄,"['jing', 'xin', 'dong', 'po']",使人神魂震惊。原指文辞优美，意境深远，使人感受极深，震动极大◇常形容使人十分惊骇紧张到极点。
197,不亦乐乎,"['bu', 'yi', 'le', 'hu']",乎文言中用为疑问或反问的语气助词，这里相当于吗”。用来表示极度、非常、淋漓尽致地意思。
198,何去何从,"['he', 'qu', 'he', 'cong']",去离开；从跟随。离开哪儿，走向哪儿。多指在重大问题上选择什么方向。
199,独立自主,"['du', 'li', 'zi', 'zhu']",多指国家或政党维护主权，不受别人的控制或支配。
200,相得益彰,"['xiang', 'de', 'yi', 'zhang']",相行互相配合、映衬；益更加；彰显著。指两个人或两件事物互相配合，双方的能力和作用更能显示出来。
201,取信于民,"['qu', 'xin', 'yu', 'min']",取得人民的信任。
202,耐人寻味,"['nai', 'ren', 'xun', 'wei']",耐禁得起；寻味探索体味。意味深长，值得人仔细体会琢磨。
203,别开生面,"['bie', 'kai', 'sheng', 'mian']",生面新的面目。原意是凌烟阁里的功臣画像本已褪色，经曹将军重画之后才显得有生气。比喻另外创出一种新的形式或局面。
204,水泄不通,"['shui', 'xie', 'bu', 'tong']",汇排泄。象是连水也流不出去。形容拥挤或包围的非常严密。
205,接二连三,"['jie', 'er', 'lian', 'san']",一个接着一个，接连不断。
206,无能为力,"['wu', 'neng', 'wei', 'li']",不能施展力量。指使不上劲或没有能力去做好某件事情、解决某个问题。
207,难以为继,"['nan', 'yi', 'wei', 'ji']",难于继续下去。
208,陷入僵局,"['xian', 'ru', 'jiang', 'ju']",指僵持的局面。
209,感同身受,"['gan', 'tong', 'shen', 'shou']",感感激；身亲身。心里很感激，就象自己亲身领受到一样。
210,不知去向,"['bu', 'zhi', 'qu', 'xiang']",向方向。不知道哪里去了。
211,匪夷所思,"['fei', 'yi', 'suo', 'si']",匪不是；夷平常。指言谈行动离奇古怪，不是一般人根据常情所能想象的。
212,背道而驰,"['bei', 'dao', 'er', 'chi']",背背向；道道路；驰奔跑。朝相反的方向跑去。比喻彼此的方向和目的完全相反。
213,难以置信,"['nan', 'yi', 'zhi', 'xin']",不容易相信。
214,拳打脚踢,"['quan', 'da', 'jiao', 'ti']",用拳打，用脚踢。形容痛打。
215,一帆风顺,"['yi', 'fan', 'feng', 'shun']",船挂着满帆顺风行驶。比喻非常顺利，没有任何阻碍。
216,掉以轻心,"['diao', 'yi', 'qing', 'xin']",掉摆动；轻轻率。对事情采取轻率的漫不经心的态度。
217,畅所欲言,"['chang', 'suo', 'yu', 'yan']",畅尽情，痛快。畅快地把要说的话都说出来。
218,习以为常,"['xi', 'yi', 'wei', 'chang']",习习惯。指某种事情经常去做，或某种现象经常看到，也就觉得很平常了。
219,漏洞百出,"['lou', 'dong', 'bai', 'chu']",百极言其多。有很多漏洞。形容文章、说话或办事，破绽很多。
220,出乎意料,"['chu', 'hu', 'yi', 'liao']",指出人意料。
221,一脉相承,"['yi', 'mai', 'xiang', 'cheng']",从同一血统、派别世代相承流传下来。批某种思想、行为或学说之间有继承关系。
222,当之无愧,"['dang', 'zhi', 'wu', 'kui']",无愧毫无愧色。当得起某种称号或荣誉，无须感到惭愧。
223,肆无忌惮,"['si', 'wu', 'ji', 'dan']",肆放肆；忌顾忌；惮害怕。非常放肆，一点没有顾忌。
224,寥寥无几,"['liao', 'liao', 'wu', 'ji']",寥寥形容数量少。非常稀少，没有几个。
225,顺藤摸瓜,"['shun', 'teng', 'mo', 'gua']",摸寻找。比喻按照某个线索查究事情。
226,助人为乐,"['zhu', 'ren', 'wei', 'le']",帮助人就是快乐。
227,欢聚一堂,"['huan', 'ju', 'yi', 'tang']",欢乐地聚集在一起。
228,泪流满面,"['lei', 'liu', 'man', 'mian']",眼泪流了一脸。形容极度悲伤。
229,接踵而至,"['jie', 'zhong', 'er', 'zhi']",指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝。
230,直言不讳,"['zhi', 'yan', 'bu', 'hui']",讳避忌，隐讳。说话坦率，毫无顾忌。
231,义无反顾,"['yi', 'wu', 'fan', 'gu']",义道义；反顾向后看。从道义上只有勇往直前，不能犹豫回顾。
232,力不从心,"['li', 'bu', 'cong', 'xin']",心里想做，可是力量够不上。
233,遍地开花,"['bian', 'di', 'kai', 'hua']",比喻好的事物到处涌现或普遍发展。
234,慕名而来,"['mu', 'ming', 'er', 'lai']",指仰慕名声而来。
235,纷至沓来,"['fen', 'zhi', 'ta', 'lai']",纷众多，杂乱；沓多，重复。形容接连不断的到来。
236,兴致勃勃,"['xing', 'zhi', 'bo', 'bo']",兴致兴趣；勃勃旺盛的样子。形容兴头很足。
237,家常便饭,"['jia', 'chang', 'bian', 'fan']",指家中日常的饭食。也比喻常见的事情。
238,措手不及,"['cuo', 'shou', 'bu', 'ji']",措手着手处理。来不及动手应付。指事出意外，一时无法对付。
239,心急如焚,"['xin', 'ji', 'ru', 'fen']",心里急得象着了火一样。形容非常着急。
240,一席之地,"['yi', 'xi', 'zhi', 'di']",放一个席位的地方。比喻应有的一个位置。
241,栩栩如生,"['xu', 'xu', 'ru', 'sheng']",栩栩活泼生动的样子。指艺术形象非常逼真，如同活的一样。
242,眼花缭乱,"['yan', 'hua', 'liao', 'luan']",缭乱纷乱。看着复杂纷繁的东西而感到迷乱。也比喻事物复杂，无法辨清。
243,雪中送炭,"['xue', 'zhong', 'song', 'tan']",在下雪天给人送炭取暖。比喻在别人急需时给以物质上或精神上的帮助。
244,得不偿失,"['de', 'bu', 'chang', 'shi']",偿抵得上。所得的利益抵偿不了所受的损失。
245,安然无恙,"['an', 'ran', 'wu', 'yang']",恙病。原指人平安没有疾病。现泛指事物平安未遭损害。
246,深入浅出,"['shen', 'ru', 'qian', 'chu']",指讲话或文章的内容深刻，语言文字却浅显易懂。
247,自始至终,"['zi', 'shi', 'zhi', 'zhong']",从开始到末了。表示一贯到底。
248,捉襟见肘,"['zhuo', 'jin', 'jian', 'zhou']",拉一拉衣襟，就露出臂肘。形容衣服破烂。比喻顾此失彼，穷于应付。
249,拒之门外,"['ju', 'zhi', 'men', 'wai']",拒拒绝。把人挡在门外，不让其进入，形容拒绝协商或共事。
250,望而却步,"['wang', 'er', 'que', 'bu']",却步不敢前进，向后退。形容事物可怕或讨厌，使人一看就往后退缩。
