idiom,pinyin,explanation
弄虚作假,nòng xū zuò jiǎ,耍花招欺骗人。
不可思议,bù kě sī yì,原有神秘奥妙的意思。现多指无法想象，难以理解。
不正之风,bù zhèng zhī fēng,不正当的社会风气。
小心翼翼,xiǎo xīn yì yì,翼翼严肃谨慎。本是严肃恭敬的意思。现形容谨慎小心，一点不敢疏忽。
长治久安,cháng zhì jiǔ ān,治太平；安安定。形容国家长期安定、巩固。
如火如荼,rú huǒ rú tú,荼茅草的白花。象火那样红，象荼那样白。原比喻军容之盛。现用来形容大规模的行动气势旺盛，气氛热烈。
不折不扣,bù zhé bù kòu,折、扣出售商品时，按定价减去的成数。没有折扣，表示完全、十足的意思。
后顾之忧,hòu gù zhī yōu,顾回头看。来自后方的忧患。指在前进过程中，担心后方发生问题。
纸醉金迷,zhǐ zuì jīn mí,原意是让闪光的金纸把人弄迷糊了。形容叫人沉迷的奢侈繁华环境。
力所能及,lì suǒ néng jí,力体力，能力；及达到。在自己力量的限度内所能做到的。
供不应求,gōng bù yìng qiú,供供给，供应；求需求，需要。供应不能满足需求。
一目了然,yī mù liǎo rán,目看；了然清楚，明白。一眼就看得很清楚。
显而易见,xiǎn ér yì jiàn,形容事情或道理很明显，极容易看清楚。
持之以恒,chí zhī yǐ héng,持坚持；恒恒心。长久坚持下去。
成千上万,chéng qiān shàng wàn,形容数量很多。
大街小巷,dà jiē xiǎo xiàng,城镇里的街道里弄，概指都市里的各处地方。
可想而知,kě xiǎng ér zhī,不用说明就能想象得到。
安居乐业,ān jū lè yè,安安定；乐喜爱，愉快；业职业。指安定愉快地生活和劳动。
齐心协力,qí xīn xié lì,形容认识一致，共同努力。
得天独厚,dé tiān dú hòu,天天然，自然；厚优厚。具备的条件特别优越，所处环境特别好。
一见钟情,yī jiàn zhōng qíng,钟集中；钟情爱情专注。旧指男女之间一见面就产生爱情。也指对事物一见就产生了感情。
艰苦奋斗,jiān kǔ fèn dòu,不怕艰难困苦，坚持英勇斗争。
全心全意,quán xīn quán yì,投入全部精力，一点没有保留。
独一无二,dú yī wú èr,没有相同的或没有可以相比的。
不约而同,bù yuē ér tóng,约相约。事先没有约定而相互一致。
紧锣密鼓,jǐn luó mì gǔ,锣鼓点敲得很密。比喻公开活动前的紧张气氛和舆论准备。
五花八门,wǔ huā bā mén,原指五行阵和八门阵。这是古代两种战术变化很多的阵势。比喻变化多端或花样繁多。
一应俱全,yī yīng jù quán,一应一切；俱都。一切齐全，应有尽有。
应运而生,yìng yùn ér shēng,应顺应；运原指天命，泛指时机。旧指应天命而产生。现指适应时机而产生。
与众不同,yǔ zhòng bù tóng,跟大家不一样。
触目惊心,chù mù jīng xīn,看见某种严重情况，心里感到震惊。
屡见不鲜,lǚ jiàn bù xiān,屡多次；鲜新鲜，新奇。常常见到，并不新奇。
无独有偶,wú dú yǒu ǒu,独一个；偶一双。不只一个，竟然还有配对的。表示两事或两人十分相似。
行之有效,xíng zhī yǒu xiào,之代词，它，指办法、措施等；效成效，效果。实行起来有成效。指某种方法或措施已经实行过，证明很有效用。
不知不觉,bù zhī bù jué,知知道；觉觉察。没有意识到，没有觉察到。现多指未加注意。
大势所趋,dà shì suǒ qū,大势指整个局势。整个局势发展的趋向。
千家万户,qiān jiā wàn hù,指众多人家。
心有余悸,xīn yǒu yú jì,悸因害怕而心跳得厉害。危险的事情虽然过去了，回想起来心里还害怕。
不得而知,bù dé ér zhī,得能够。没有办法知道。
前所未有,qián suǒ wèi yǒu,从来没有过的。
迫不及待,pò bù jí dài,近紧急。急迫得不能等待。形容心情急切。
雪上加霜,xuě shàng jiā shuāng,比喻接连遭受灾难，损害愈加严重。
迫在眉睫,pò zài méi jié,形容事情已到眼前，情势十分紧迫。
此起彼伏,cǐ qǐ bǐ fú,这里起来，那里下去。形容接连不断。
脚踏实地,jiǎo tà shí dì,脚踏在坚实的土地上。比喻做事踏实，认真。
意想不到,yì xiǎng bù dào,料想不到，没有料到。
错综复杂,cuò zōng fù zá,错交错，交叉；综合在一起。形容头绪多，情况复杂。
无可厚非,wú kě hòu fēi,厚深重；非非议，否定。不能过分责备。指说话做事虽有缺点，但还有可取之处，应予谅解。
源远流长,yuán yuǎn liú cháng,源头很远，水流很长。比喻历史悠久。
举一反三,jǔ yī fǎn sān,反类推。比喻从一件事情类推而知道其他许多事情。
循序渐进,xún xù jiàn jìn,指学习工作等按照一定的步骤逐渐深入或提高。
不遗余力,bù yí yú lì,遗留；余力剩下的力量。把全部力量都使出来，一点不保留。
不言而喻,bù yán ér yù,喻了解，明白。不用说话就能明白。形容道理很明显。
讨价还价,tǎo jià huán jià,讨索取。买卖东西，卖主要价高，买主给价低，双方要反复争议。也比喻在进行谈判时反复争议，或接受任务时讲条件。
深恶痛绝,shēn wù tòng jué,恶厌恶；痛痛恨；绝极。指对某人或某事物极端厌恶痛恨。
三位一体,sān wèi yī tǐ,比喻三个人、三件事或三个方面联成的一个整体。
截然不同,jié rán bù tóng,截然很分明地、断然分开的样子。形容两件事物毫无共同之处。
记忆犹新,jì yì yóu xīn,犹还。过去的事，至今印象还非常清楚，就象刚才发生的一样。
喜闻乐见,xǐ wén lè jiàn,喜欢听，乐意看。指很受欢迎。
家喻户晓,jiā yù hù xiǎo,喻明白；晓知道。家家户户都知道。形容人所共知。
日新月异,rì xīn yuè yì,新更新；异不同。每天都在更新，每月都有变化。指发展或进步迅速，不断出现新事物、新气象。
取而代之,qǔ é dài zhī,指夺取别人的地位而由自己代替。现也指以某一事物代替另一事物。
莫名其妙,mò míng qí miào,说不出其中的奥妙。指事情很奇怪，说不出道理来。
名列前茅,míng liè qián máo,比喻名次列在前面。
排忧解难,pái yōu jiě nán,排除忧愁，解除困难。
各式各样,gè shì gè yàng,指多种不同的式样、种类或方式。
玩忽职守,wán hū zhí shǒu,不认真、不负责地对待本职工作。
任重道远,rèn zhòng dào yuǎn,任负担；道路途。担子很重，路很远。比喻责任重大，要经历长期的奋斗。
奋发有为,fèn fā yǒu wéi,奋发精神振作。精神振作，有所作为。
举足轻重,jǔ zú qīng zhòng,只要脚移动一下，就会影响两边的轻重。指处于重要地位，一举一动都足以影响全局。
比比皆是,bǐ bǐ jiē shì,比比一个挨一个。到处都是，形容极其常见。
卓有成效,zhuó yǒu chéng xiào,卓卓越，高超。有突出的成绩和效果。
落地生根,luò dì shēng gēn,比喻长期安家落户或切切实实、一心一意地做好所从事的工作。
势在必行,shì zài bì xíng,行做。从事情发展的趋势看，必须采取行动。
史无前例,shǐ wú qián lì,历史上从来没有过的事。指前所未有。
理所当然,lǐ suǒ dāng rán,当然应当如此。按道理应当这样。
耳熟能详,ěr shú néng xiáng,指听得多了，能够说得很清楚、很详细。
由来已久,yóu lái yǐ jiǔ,由来从发生到现在。事情从发生到现在已经过了很长时间了。
一模一样,yī mó yī yàng,样子完全相同。
厉行节约,lì xíng jié yuē,厉严格。严格地实行节约。
恶性循环,è xìng xún huán,许多坏事互为因果，循环不已，越来越坏。
铤而走险,tǐng ér zǒu xiǎn,铤急走的样子；走险奔赴险处。指在无路可走的时候采取冒险行动。
举世瞩目,jǔ shì zhǔ mù,全世界的人都注视着。
再接再厉,zài jiē zài lì,接接战；厉磨快，引伸为奋勉，努力。指公鸡相斗，每次交锋以前先磨一下嘴。比喻继续努力，再加一把劲。
足不出户,zú bù chū hù,脚不跨出家门。
翻天覆地,fān tiān fù dì,覆翻过来。形容变化巨大而彻底。也指闹得很凶。
非同寻常,fēi tóng xún cháng,寻常平常。形容人和事物很突出，不同于一般。
挨家挨户,āi ji āi hù,每家每户，户户不漏。挨，依次，顺次。
不翼而飞,bù yì ér fēi,翼翅膀。没有翅膀却飞走了。比喻物品忽然丢失。也比喻事情传播得很迅速。
参差不齐,cēn cī bù qí,参差长短、高低不齐。形容水平不一或很不整齐。
水涨船高,shuǐ zhǎng chuán gāo,水位升高，船身也随之浮起。比喻事物随着它所凭借的基础的提高而增长提高。
沸沸扬扬,fèi fèi yáng yáng,沸沸水翻滚的样子；扬扬喧闹、翻动的样子。象沸腾的水一样喧闹。形容人声喧闹。
先发制人,xiān fā zhì rén,发开始行动；制控制，制服。原指丢动手的牌主动地位，可以控制对方◇也泛指争取主动，先动手来制服对方。
轩然大波,xuān rán dà bō,轩然波涛高高涌起的样子。高高涌起的波涛。比喻大的纠纷或乱子。
土生土长,tǔ shēng tǔ zhǎng,当地生长的。
出人意料,chū rén yì liào,出乎人们意料之外。
统筹兼顾,tǒng chóu jiān gù,统筹通盘筹划；兼本义为一手执两禾，引伸为同时进行几桩事情或占有几样东西；顾照顾。统一筹划，全面照顾。
明察暗访,míng chá àn fǎng,从明里细心察看，从暗里询问了解。指用各种方法进行调查研究。
刻不容缓,kè bù róng huǎn,刻指短暂的时间；缓延迟。指形势紧迫，一刻也不允许拖延。
融为一体,róng wéi yī tǐ,融合为整体。比喻几种事物关系密切，配合自然，如同一个整体。
焕然一新,huàn rán yī xīn,焕然鲜明光亮的样子。改变旧面貌，出现崭新的气象。
以身作则,yǐ shēn zuò zé,则准则，榜样。以自己的行动做出榜样。
潜移默化,qián yí mò huà,潜暗中同，不见形迹；默不说话，没有声音。指人的思想或性格不知不觉受到感染、影响而发生了变化。
风口浪尖,fēng kǒu làng jiān,比喻激烈尖锐的社会斗争前哨。
有条不紊,yǒu tiáo bù wěn,紊乱。形容有条有理，一点不乱。
归根结底,guī gēn jié dǐ,归结到根本上。同归根结蒂”。
发扬光大,fā yáng guāng dà,发扬发展，提倡；光大辉煌而盛大。使好的作风、传统等得到发展和提高。
旗帜鲜明,qí zhì xiān míng,本指军旗耀眼，军容整齐。现比喻立场、观点、态度等十分明确。
万无一失,wàn wú yī shī,失差错。指非常有把握，绝对不会出差错。
可见一斑,kě jiàn yī bān,斑杂色的花纹或斑点。比喻见到事物的一少部分也能推知事物的整体。
一视同仁,yī shì tóng rén,原指圣人对百姓一样看待，同施仁爱◇多表示对人同样看待，不分厚薄。
相辅相成,xiāng fǔ xiāng chéng,辅辅助。指两件事物互相配合，互相辅助，缺一不可。
淋漓尽致,lín lí jìn zhì,淋漓形容湿淋淋往下滴，比喻尽情，酣畅；尽致达到极点。形容文章或说话表达得非常充分、透彻，或非常痛快。
耳目一新,ěr mù yī xīn,耳目指见闻。听到的、看到的跟以前完全不同，使人感到新鲜。
不了了之,bù liǎo liǎo zhī,了了结，结束。用不了结的办法去了结。指把事情放在一边不管，就算完事。
热火朝天,rè huǒ cháo tiān,形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。
有目共睹,yǒu mù gòng dǔ,睹看见。指非常明显，谁都看得见。
久而久之,jiǔ ér jiǔ zhī,经过了相当长的时间。
视而不见,shì ér bù jiàn,指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。
自强不息,zì qiáng bù xī,自强自己努力向上；息停止。自觉地努力向上，永不松懈。
以权谋私,yǐ quán móu sī,以凭借；权权力；谋谋求；私私利。用手中的权力牟取私利。
继往开来,jì wǎng kāi lái,继继承；开开辟。继承前人的事业，开辟未来的道路。
赞不绝口,zàn bù jué kǒu,不住口地称赞。
义不容辞,yì bù róng cí,容允许；辞推托。道义上不允许推辞。
未雨绸缪,wèi yǔ chóu móu,绸缪紧密缠缚。天还没有下雨，先把门窗绑牢。比喻事先做好准备工作。
一举一动,yī jǔ yī dòng,指人的每一个动作。
绳之以法,shéng zhī yǐ fǎ,根据法律制裁。
尽如人意,jìn rú rén yì,尽全；如依照，符合。事情完全符合人的心意。
有所作为,yǒu suǒ zuò wéi,可以做事情，并能取得较大的成绩。
对症下药,duì zhèng xià yào,针对病症用药。比喻针对事物的问题所在，采取有效的措施。
出谋划策,chū móu huà cè,谋计谋；划筹划。制定计谋策略。指为人出主意。
四面八方,sì miàn bā fāng,指各个方面或各个地方。
首当其冲,shǒu dāng qí chōng,当承当，承受；冲要冲，交通要道。比喻最先受到攻击或遭到灾难。
马不停蹄,mǎ bù tíng tí,比喻不停顿地向前走。
不以为然,bù yǐ wéi rán,然是，对。不认为是对的。表示不同意或否定。
必由之路,bì yóu zhī lù,由经由。必定要经过的道路。泛指事物必须遵循的规律或做事必须遵守的法则。
所作所为,suǒ zuò suǒ wéi,指人所做的事。
一蹴而就,yī cù ér jiù,蹴踏；就成功。踏一步就成功。比喻事情轻而易举，一下子就成功。
人满为患,rén mǎn wéi huàn,因人多造成了困难。
身体力行,shēn tǐ lì xíng,身亲身；体体验。亲身体验，努力实行。
精益求精,jīng yì qiú jīng,精完美，好；益更加∶了还求更好。
大吃一惊,dà chī yī jīng,形容对发生的事感到十分意外。
竭尽全力,jié jìn quán lì,竭尽用尽。用尽全部力量。
拭目以待,shì mù yǐ dài,拭擦；待等待。擦亮眼睛等着瞧。形容期望很迫切。也表示确信某件事情一定会出现。
无家可归,wú jiā kě guī,没有家可回。指流离失所。
哭笑不得,kū xiào bù dé,哭也不好，笑也不好。形容很尴尬。
铺张浪费,pū zhāng làng fèi,铺张讲究排场。为了场面好看而浪费人力物力。
不知所措,bù zhī suǒ cuò,措安置，处理。不知道怎么办才好。形容处境为难或心神慌乱。
座无虚席,zuò wú xū xí,虚空。座位没有空着的。形容出席的人很多。
可乘之机,kě chéng zhī jī,可以利用的时机。
琳琅满目,lín láng mǎn mù,琳琅精美的玉石。满眼都是珍贵的东西。形容美好的事物很多。
卷土重来,juǎn tǔ chóng lái,卷土人马奔跑时尘土飞卷。比喻失败之后，重新恢复势力。
铺天盖地,pū tiān gài dì,一下子到处都是。形容来势很猛。
理直气壮,lǐ zhí qì zhuàng,理直理由正确、充分；气壮气势旺盛。理由充分，说话气势就壮。
面目全非,miàn mù quán fēi,非不相似。样子完全不同了。形容改变得不成样子。
忧心忡忡,yōu xīn chōng chōng,忡忡忧虑不安的样子。形容心事重重，非常忧愁。
在所难免,zài suǒ nán miǎn,免避免。指由于某种限制而难于避免。
燃眉之急,rán méi zhī jí,燃烧。火烧眉毛那样紧急。形容事情非常急迫。
不绝于耳,bù jué yú ěr,绝断。声音在耳边不断鸣响。
津津乐道,jīn jīn lè dào,津津兴趣浓厚的样子；乐道喜欢谈讲≤有兴趣地说个不停。
立竿见影,lì gān jiàn yǐng,在阳光下把竿子竖起来，立刻就看到影子。比喻立刻见到功效。
议论纷纷,yì lùn fēn fēn,形容意见不一，议论很多。
与日俱增,yǔ rì jù zēng,与跟，和。随着时间一天天地增长。形容不断增长。
衣食住行,yī shí zhù xíng,泛指穿衣、吃饭、住房、行路等生活上的基本需要。
急功近利,jí gōng jìn lì,功成功；近眼前的。急于求成，贪图眼前的成效和利益。
根深蒂固,gēn shēn dì gù,比喻基础深厚，不容易动摇。
博大精深,bó dà jīng shēn,博广，多。形容思想和学识广博高深。
大有可为,dà yǒu kě wéi,事情有发展前途，很值得做。
轰轰烈烈,hōng hōng liè liè,轰轰象声词，形容巨大的声响；烈烈火焰炽盛的样子。形容事业的兴旺。也形容声势浩大，气魄宏伟。
惊心动魄,jīng xīng dòng pò,使人神魂震惊。原指文辞优美，意境深远，使人感受极深，震动极大◇常形容使人十分惊骇紧张到极点。
不亦乐乎,bù yì lè hū,乎文言中用为疑问或反问的语气助词，这里相当于吗”。用来表示极度、非常、淋漓尽致地意思。
何去何从,hé qù hé cóng,去离开；从跟随。离开哪儿，走向哪儿。多指在重大问题上选择什么方向。
独立自主,dú lì zì zhǔ,多指国家或政党维护主权，不受别人的控制或支配。
相得益彰,xiāng dé yì zhāng,相行互相配合、映衬；益更加；彰显著。指两个人或两件事物互相配合，双方的能力和作用更能显示出来。
取信于民,qǔ xìn yú mín,取得人民的信任。
耐人寻味,nài rén xún wèi,耐禁得起；寻味探索体味。意味深长，值得人仔细体会琢磨。
别开生面,bié kāi shēng miàn,生面新的面目。原意是凌烟阁里的功臣画像本已褪色，经曹将军重画之后才显得有生气。比喻另外创出一种新的形式或局面。
水泄不通,shuǐ xiè bù tōng,汇排泄。象是连水也流不出去。形容拥挤或包围的非常严密。
接二连三,jiē èr lián sān,一个接着一个，接连不断。
无能为力,wú néng wéi lì,不能施展力量。指使不上劲或没有能力去做好某件事情、解决某个问题。
难以为继,nán yǐ wéi jì,难于继续下去。
陷入僵局,xiàn rù jiāng jú,指僵持的局面。
感同身受,gǎn tóng shēn shòu,感感激；身亲身。心里很感激，就象自己亲身领受到一样。
不知去向,bù zhī qù xiàng,向方向。不知道哪里去了。
匪夷所思,fěi yí suǒ sī,匪不是；夷平常。指言谈行动离奇古怪，不是一般人根据常情所能想象的。
背道而驰,bèi dào ér chí,背背向；道道路；驰奔跑。朝相反的方向跑去。比喻彼此的方向和目的完全相反。
难以置信,nán yǐ zhì xìn,不容易相信。
拳打脚踢,quán dǎ jiǎo tī,用拳打，用脚踢。形容痛打。
一帆风顺,yī fán fēng shùn,船挂着满帆顺风行驶。比喻非常顺利，没有任何阻碍。
掉以轻心,diào yǐ qīng xīn,掉摆动；轻轻率。对事情采取轻率的漫不经心的态度。
畅所欲言,chàng suǒ yù yán,畅尽情，痛快。畅快地把要说的话都说出来。
习以为常,xí yǐ wéi cháng,习习惯。指某种事情经常去做，或某种现象经常看到，也就觉得很平常了。
漏洞百出,lòu dòng bǎi chū,百极言其多。有很多漏洞。形容文章、说话或办事，破绽很多。
出乎意料,chū hū yì liào,指出人意料。
一脉相承,yī mài xiāng chéng,从同一血统、派别世代相承流传下来。批某种思想、行为或学说之间有继承关系。
当之无愧,dāng zhī wú kuì,无愧毫无愧色。当得起某种称号或荣誉，无须感到惭愧。
肆无忌惮,sì wú jì dàn,肆放肆；忌顾忌；惮害怕。非常放肆，一点没有顾忌。
寥寥无几,liáo liáo wú jǐ,寥寥形容数量少。非常稀少，没有几个。
顺藤摸瓜,shùn téng mō guā,摸寻找。比喻按照某个线索查究事情。
助人为乐,zhù rén wéi lè,帮助人就是快乐。
欢聚一堂,huān jù yī táng,欢乐地聚集在一起。
泪流满面,lèi liú mǎn miàn,眼泪流了一脸。形容极度悲伤。
接踵而至,jiē zhǒng ér zhì,指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝。
直言不讳,zhí yán bù huì,讳避忌，隐讳。说话坦率，毫无顾忌。
义无反顾,yì wú fǎn gù,义道义；反顾向后看。从道义上只有勇往直前，不能犹豫回顾。
力不从心,lì bù cóng xīn,心里想做，可是力量够不上。
遍地开花,biàn dì kāi huā,比喻好的事物到处涌现或普遍发展。
慕名而来,mù míng ér lái,指仰慕名声而来。
纷至沓来,fēn zhì tà lái,纷众多，杂乱；沓多，重复。形容接连不断的到来。
兴致勃勃,xìng zhì bó bó,兴致兴趣；勃勃旺盛的样子。形容兴头很足。
家常便饭,jiā cháng biàn fàn,指家中日常的饭食。也比喻常见的事情。
措手不及,cuò shǒu bù jí,措手着手处理。来不及动手应付。指事出意外，一时无法对付。
心急如焚,xīn jí rú fén,心里急得象着了火一样。形容非常着急。
一席之地,yī xí zhī dì,放一个席位的地方。比喻应有的一个位置。
栩栩如生,xǔ xǔ rú shēng,栩栩活泼生动的样子。指艺术形象非常逼真，如同活的一样。
眼花缭乱,yǎn huā liáo luàn,缭乱纷乱。看着复杂纷繁的东西而感到迷乱。也比喻事物复杂，无法辨清。
雪中送炭,xuě zhōng sòng tàn,在下雪天给人送炭取暖。比喻在别人急需时给以物质上或精神上的帮助。
得不偿失,dé bù cháng shī,偿抵得上。所得的利益抵偿不了所受的损失。
安然无恙,ān rán wú yàng,恙病。原指人平安没有疾病。现泛指事物平安未遭损害。
深入浅出,shēn rù qiǎn chū,指讲话或文章的内容深刻，语言文字却浅显易懂。
自始至终,zì shǐ zhì zhōng,从开始到末了。表示一贯到底。
捉襟见肘,zhuō jīn jiàn zhǒu,拉一拉衣襟，就露出臂肘。形容衣服破烂。比喻顾此失彼，穷于应付。
拒之门外,jù zhī mén wài,拒拒绝。把人挡在门外，不让其进入，形容拒绝协商或共事。
望而却步,wàng ér què bù,却步不敢前进，向后退。形容事物可怕或讨厌，使人一看就往后退缩。
默默无闻,mò mò wú wén,无声无息，没人知道。指没有什么名声。
顺理成章,shùn lǐ chéng zhāng,顺依顺；理条理；章章法。指写文章或做事情顺着条理就能做好。也比喻某种情况自然产生某种结果。
难能可贵,nán néng kě guì,难能极难做到。指不容易做到的事居然能做到，非常可贵。
来龙去脉,lái lóng qù mài,本指山脉的走势和去向。现比喻一件事的前因后果。
不谋而合,bù móu ér hé,谋商量；合相符。事先没有商量过，意见或行动却完全一致。
如出一辙,rú chū yī zhé,辙车轮碾轧的痕迹∶象出自同一个车辙。比喻两件事情非常相似。
提心吊胆,tí xīn diào dǎn,形容十分担心或害怕。
徇私舞弊,xùn sī wǔ bì,徇曲从；舞舞弄，耍花样。为了私人关系而用欺骗的方法做违法乱纪的事。
一无所知,yī wú suǒ zhī,什么也不知道。
锲而不舍,qiè ér bù shě,锲镂刻；舍停止。不断地镂刻。比喻有恒心，有毅力。
别有用心,bié yǒu yòng xīn,用心居心，打算。心中另有算计。指言论或行动另有不可告人的企图。
大打出手,dà dǎ chū shǒu,打出手戏曲中的一种武打技术，一出剧中的主要人物与多个对手相打，形成种种武打场面。比喻逞凶打人或殴斗。
同舟共济,tóng zhōu gòng jì,舟船；济渡，过洒。坐一条船，共同渡河。比喻团结互助，同心协力，战胜困难。也比喻利害相同。
雨后春笋,yǔ hòu chūn sǔn,指春天下雨后，竹笋一下子就长出来很多。比喻事物迅速大量地涌现出来。
兢兢业业,jīng jīng yè yè,兢兢形容小心谨慎；业业畏惧的样子。形容做事谨慎、勤恳。
泣不成声,qǐ bù chéng shēng,哭得噎住了，出不来声音。形容非常伤心。
无人问津,wú rén wèn jīn,问津询问渡口。比喻没有人来探问、尝试或购买。
应有尽有,yīng yǒu jìn yǒu,该有的全都有。形容很齐全。
引以为戒,yǐn yǐ wéi jiè,引用；戒鉴戒。指把过去犯错误的教训拿来作为警戒，避免重犯。
异军突起,yì jūn tū qǐ,异军另外一支军队。比喻一支新生力量突然出现。
波澜壮阔,bō lán zhuàng kuò,原形容水面辽阔。现比喻声势雄壮或规模巨大。
无可奈何,wú kě nài hé,奈何如何，怎么办。指感到没有办法，只有这样了。
归根到底,guī gēn dào dǐ,归结到根本上。
品学兼优,pǐn xué jiān yōu,兼都。思想品德和学业都很优秀。
司空见惯,sī kōng jiàn guàn,司空古代官名。指某事常见，不足为奇。
推波助澜,tuī bō zhù lán,澜大波浪。比喻从旁鼓动、助长事物（多指坏的事物）的声势和发展，扩大影响。
微乎其微,wēi hū qí wēi,形容非常小或非常少。
相提并论,xiāng tí bìng lùn,相提相对照；并齐。把不同的人或不同的事放在一起谈论或看待。
束手无策,shù shǒu wú cè,策办法。遇到问题，就象手被捆住一样，一点办法也没有。
信以为真,xìn yǐ wéi zhēn,相信他是真的。指把假的当作真的。
死灰复燃,sǐ huī fù rán,冷灰重新烧了起来。原比喻失势的人重新得势。现常比喻已经消失了的恶势力又重新活动起来。
苦不堪言,kǔ bù kān yán,堪能。痛苦或困苦到了极点，已经不能用言语来表达。
防患于未然,fáng huàn yú wèi rán,患灾祸；未然没有这样，指尚未形成。防止事故或祸害于尚未发生之前。
争分夺秒,zhēng fēn duó miǎo,一分一秒也不放过。形容充分利用时间。
集思广益,jí sī guǎng yì,集集中；思思考，意见；广扩大。指集中群众的智慧，广泛吸收有益的意见。
蛮不讲理,mán bù jiǎng lǐ,态度粗暴，不讲道理。
自力更生,zì lì gēng shēng,更生再次获得生命，比喻振兴起来。指不依赖外力，靠自己的力量重新振作起来，把事情办好。
有的放矢,yǒu dǐ fàng shǐ,的箭靶子；矢箭。放箭要对准靶子。比喻说话做事有针对性。
严阵以待,yán zhèn yǐ dài,指做好充分战斗准备，等待着敌人。
建功立业,jiàn gōng lì yè,建建立；功功勋；业事业。建立功勋，成就大业。
人山人海,rén shān rén hǎi,人群如山似海。形容人聚集得非常多。
溃不成军,kuì bù chéng jūn,溃溃败，散乱。被打得七零八落，不成队伍。形容惨败。
国计民生,guó jì mín shēng,国家经济和人民生活。
年事已高,nián shì yǐ gāo,年事年纪。指一个人的岁数已经很大了。
绿水青山,lǜ shuǐ qīng shān,泛称美好山河。
半壁江山,bàn bì jiāng shān,半壁半边；江山比喻国家疆土。指在敌人入侵后残存或丧失的部分国土。
求同存异,qiú tóng cún yì,求寻求；存保留；异不同的。找出共同点，保留不同意见。
蛛丝马迹,zhū sī mǎ jì,从挂下来的蜘蛛丝可以找到蜘蛛的所在，从马蹄的印子可以查出马的去向。比喻事情所留下的隐约可寻的痕纪线索。
鱼龙混杂,yú lóng hùn zá,比喻坏人和好人混在一起。
扑朔迷离,pū shuò mí lí,指难辨兔的雌雄。形容事情错综复杂，难以辨别清楚。
熙熙攘攘,xī xī rǎng rǎng,熙熙和乐的样子；攘攘纷乱的样子。形容人来人往，非常热闹拥挤。
一技之长,yī jì zhī cháng,技技能，本领；长擅长、长处。指有某种技能或特长。
大江南北,dà jiāng nán běi,指靠临长江中下游两岸的广大地区。
屈指可数,qū zhǐ kě shǔ,形容数目很少，扳着手指头就能数过来。
交相辉映,jiāo xiāng huī yìng,各种光亮、色彩等互相映照。
公之于众,gōng zhī yú zhòng,公公开；之代指事物的内容；于向；众大众。把事情真相向大家公布。
一拍即合,yī pāi jí hé,拍乐曲的段落，也称打拍子。一打拍子就合于乐曲的节奏。比喻困情意相投或有利害关系，一下子就说到一起或结合在一起。
絮絮叨叨,xù xù dāo dāo,形容说话罗嗦，唠叨。
一丝不苟,yī sī bù gǒu,苟苟且，马虎。指做事认真细致，一点儿不马虎。
相依为命,xiāng yī wéi mìng,互相依靠着过日子。泛指互相依靠，谁也离不开谁。
