菜谱名称,难度,口味,烹饪时间,食材,步骤
香烤羊腿,高级厨师,其它口味,<60分钟,羊腿1只（约800克） 大葱1段姜1块料酒3汤勺酱油3汤勺蚝油2汤勺盐适量孜然15克熟芝麻15克土豆2个洋葱1个 ,1.羊腿一只，我把小腿部分切掉了，这样比较好放，把羊腿两面都划上小口，深入到骨 2.大葱和姜切碎，羊腿里放入葱姜，料酒，酱油，盐耗油，让调料均匀和羊腿接触，可以用手按摩入味，腌渍1小时以上，中途翻动几下 3.土豆和洋葱切块，铺在烤盘上，也可以不放 4.孜然和芝麻一半用料理机打磨成粉状 5.羊腿放在烤盘上，两面都撒上打磨好的孜然芝麻粉 6.烤盘放入烤箱中层，上下火220度，烘烤30分钟，记住，羊腿要用锡纸先包裹盖好 7.烘烤30分钟后在取出，去掉锡纸，继续烘烤15分钟 8.5分钟后再取出涂上一层油，撒上整粒的孜然和芝麻，喜欢吃辣的再撒点辣椒。在烘烤10分钟，在取出翻面撒调料烘烤5分钟即可 
烤鸡翅,新手尝试,香辣味,<30分钟,鸡翅10个烧烤料一包 蜂蜜适量 ,1.鸡翅和烧烤调料准备好 2.鸡翅用刀划上两刀，方便入味 3.倒入自己喜欢口味的烧烤调料 4.调拌一下，使鸡翅上都均匀的涂满调料，腌制1个小时左右，入味 5.腌好的鸡翅摆放到烤盘上，烤箱提前预热，175度烤30分钟 6.中间翻一次面，刷点蜂蜜，烤熟出炉 7.烤好的鸡翅，太有食欲了。 
黑胡椒烤鸡腿肉,新手尝试,黑椒味,<15分钟,鸡边腿2个现磨胡椒碎适量洋葱1/4个苦菊1小把红椒1/4个 葱1棵姜3片蒜3瓣生抽2大勺老抽1小勺白糖30克白胡椒粉1克盐1克蜂蜜1勺橄榄油小勺苹果醋1勺 ,1.鸡边腿洗净去骨 2.用刀背轻剁鸡（目的可以使鸡肉松软、进味） 3.然后用竹签在表面和插一些小孔（这样可以防止鸡皮在烤的时候回缩） 4.葱切丝 5.蒜切大的碎粒、姜切片 6.葱、姜、蒜入碗加入生抽、老抽、白糖、白胡椒粉、盐拌匀 7.加入料酒拌匀 8.把鸡肉放入盘中均匀抹上腌料 9.转动现磨黑胡椒碎的瓶子，磨出粗粒 10.然后包裹保鲜膜入冰箱冷藏腌制一晚 11.制作前取出，捡出葱、姜、蒜不要 12.剩下的腌料里再加入蜂蜜拌匀成刷料 13.把鸡肉摆入烤架 14.入空气炸锅180度、烤25分钟左右 15.中途记得翻面和涮几次涮料 16.在烤肉期间，我们来制作一道简单的油醋沙拉来解解腻：苦菊洗净 17.洋葱切丝 18.红椒切丝 19.材料入碗，加入苹果醋 20.橄榄油 21.蜂蜜拌匀即可 22.烤好后取出，切块表面现磨出细粒胡椒碎，搭配沙拉即可食用 
蜂蜜烤鸡翅,初级入门,其它口味,<30分钟,鸡翅中10个蜂蜜50克 生抽30克胡椒粉5克料酒10克油10克 ,1.食材准备；烤箱预热至200°C 2.在处理干净的鸡翅中肉多的一面切2刀方便入味 3.翅中放入大碗中，倒入料酒、胡椒粉、盐、生抽，用手抓匀，并腌制40分钟 4.另取一小碗，放入油和蜂蜜调匀 5.鸡翅双面都刷上蜂蜜油，摆在铺有锡纸的烤盘中 6.放入预热好的烤箱，中层，200°C烤10分钟 7.取出，翻面，再刷一层蜂蜜油，继续烤5分钟即可 
【大吉大利】时蔬烤鸡肉,初中水平,咸鲜味,<10分钟,鸡胸肉一块杏鲍菇一个红辣椒一根柿子椒一根 胡椒粉少许生姜三片大葱一截花生油适量烤肉料一包 ,1.将所有的主食材准备好，鸡肉一块，杏鲍菇一个，柿子椒两个，烤肉料一包，大葱一根，生姜一小块，胡椒粉少许，盐适量。 2.将鸡胸肉切成块，放入清水中浸泡十几分钟，去除血水。 3.将鸡胸肉控干水分放入深碗中，加入适量的烤肉料，用手抓均匀。 4.放入适量的葱段和生姜，拌匀后腌制半个小时。 5.将杏鲍菇切成方块，柿子椒去蒂去籽也切成方块备用。 6.苏泊尔升降盘煎烤机，将上盖中的旋钮调整至30毫米厚度。 7.取一根烧烤用的长竹签，将杏鲍菇，柿子椒，腌好的鸡胸肉块，按顺序穿插在竹签中。 8.接通电源，启动鸡翅功能，预热结束后放入适量的花生油，将装好料的竹签放进去，盖上上盖。程序结束后即可出锅。出锅前，撒少许盐和现磨少许黑胡椒碎。 
牙签肉,新手尝试,香辣味,<30分钟,梅花肉（肩胛肉） 500克辣椒粉 5克孜然粉 5克生抽  5克蚝油 5克蒜头 3片 牙签 适量 ,1.猪颈肉洗干净之后用厨房纸巾吸干水分，然后切成2厘米厚的条状，然后切成2厘米的方粒 2.放在碗中加入孜然粉5g ，辣椒粉5g， 生抽5g ，蚝油5g， 蒜头3片，蒜片用压蒜嚣压成泥或用刀剁成末也可以 3.然后搅拌均匀，用保鲜膜封好，放进冰箱冷藏腌制6小时 4.把冷藏腌制好的猪颈肉拿出来，竹签用水泡一下 5.把腌制好的猪颈肉用牙签串起来，依次把所有猪颈肉串好 6.把面包机搅拌叶取出，然后把串好的肉都放进面包机桶中，盖上盖子，启动烘烤程序30分钟 7.30分钟后，牙签肉就烘烤好了 8.香喷喷的就好了 
豆腐皮韭菜卷,新手尝试,香辣味,<10分钟,韭菜一小把豆腐皮一张 香辣酱一勺甜面酱一勺蒜蓉辣酱一勺孜然粉一勺 ,1.韭菜洗净切成三段，大约十厘米长 2.豆腐皮切成小块，长十厘米宽五厘米左右 3.取一小撮韭菜，用豆腐皮卷起来 4.排排坐 5.卷好的卷用竹签串起来。 竹签提前两小时浸泡，防止烤糊 6.香辣酱、甜面酱、蒜茸辣酱、孜然粉，混合均匀 7.步骤7两面都刷上满满的酱料 8.ACA北美电器智能烤箱预热160度，上下火中层10分钟左右即可 
鸡翅包饭,新手尝试,咸鲜味,<15分钟,鸡大翅6个鸡蛋1个熟米饭200克胡萝卜20克 洋葱20克 蚝油5克盐3克 生抽5克 黑胡椒适量 ,1.鸡大翅冲洗干净，将翅膀关节处用两手拧松拧断，用劲一拽可直接取出骨头。 2.去骨的鸡翅中调入蚝油、生抽、现磨黑胡椒。（如果有现成的腌料调味包也可以使用。） 3.用手抓匀，放置一旁腌制30分钟。（可以放入冰箱冷藏腌制过夜，腌制时间越久会更入味一些。） 4.锅中适量食用油烧至6分热，倒入划散的蛋液炒成鸡蛋碎。 5.倒入胡罗卜丁、洋葱碎，调入盐，翻炒均匀，再放入冷凉的米饭翻炒。 6.将米饭炒散至颗粒分明，盛入碗中，冷却待用。 7.将炒好的米饭灌入鸡翅中，塞上米饭，按压紧实。（鸡翅内塞米饭下层可以塞紧实一些，上层不要过满，因为烤制过程中，鸡翅会缩小，以免内馅胀爆。） 8.其它鸡翅依次塞好米饭。 9.放入铺有锡纸的烤盘中，鸡翅表层刷薄油。（可刷少许蜂蜜，烤出来的鸡翅色泽更好看。） 10.烤箱上下火180度预热好，然后放入烤盘，先烤15分钟，翻过来，再烤5分钟，表层色泽红润滴油即可取出。 
蜜汁猪肉脯,新手尝试,咸鲜味,<15分钟,猪肉馅300克 蚝油8克白糖10克老抽3克生抽5毫升黑胡椒粉3克盐1克白芝麻2克蜂蜜5克 ,1.猪肉馅儿放入碗中。 2.放入白糖、老抽、蚝油、生抽、黑胡椒粉和盐 3.把肉馅儿朝着一个方向搅拌，搅拌至上劲儿后即可，腌制1—2小时左右。 4.取一小部分的肉馅儿放在垫了硅胶垫或者是油纸的，在表面垫一层保鲜膜，用擀面杖把肉馅擀大擀薄。 5.蜂蜜和清水的比例是1:1，调成蜂蜜水，在肉馅儿表面刷一层。 6.预热烤箱，上下火160度10分钟左右。 7.一面烤完后，取出翻个面，再刷一层蜂蜜水，继续160度烤十分钟。最后翻第三次面，刷一层蜂蜜水，撒点儿白芝麻，放入烤箱中5分钟左右即可。 8.烤好的猪肉脯自然放凉，切掉不规则的四周就可以了。 9.把猪肉脯切成整齐的小块儿。 
奥尔良煎鸡翅,新手尝试,家常味,<10分钟,鸡中翅500克奥尔良烤肉料30克 食用油适量蜂蜜5克 ,1.鸡中翅，奥尔良烤肉料，蜂蜜，食用油各适量。 2.鸡翅从冰箱中取出，常温解冻，清洗干净后，用刀在鸡翅的表皮划两刀，等下腌制时候更容易入味。 3.奥尔良烤肉料中加入少量的清水，拌匀后放入鸡翅中，拌匀后盖上保鲜膜，放入冰箱冷藏2-3小时，放过夜的话鸡翅更入味。 4.多功能烤盘中刷上适量的食用油，开始加热。 5.油热后，把鸡翅一个个放入，中间留一点空隙，避免鸡翅粘在一起。 6.2分钟左右，翻面煎另一面，继续煎两分钟，就这样重复翻动2次，把鸡翅烤熟。 7.蜂蜜中加入适量的清水，拌匀为蜂蜜水。然后用刷子蘸取适量的蜂蜜水，刷在鸡翅表皮上，这时候关火，利用余温把鸡翅再烤一下。刷了蜂蜜水的鸡翅颜色更好看，吃起来口感更鲜香。 8.一锅简单美味的奥尔良烤鸡翅就完成了，自己在家制作，吃得更健康、更美味。 
锡纸包鸡,初中水平,家常味,<30分钟,鸡翅根适量酱油适量 油盐适量 ,1.鸡翅根用水浸泡一小时，中间换水，充分泡出血水鸡翅根沥干水分，剁小块，用水冲洗一遍后沥干 2.鸡翅根里加入料酒，盐，耗油，生抽，白糖，白胡椒粉，姜丝，葱白，用手抓匀后盖上保鲜膜，入冰箱冷藏半个钟 3.空气炸锅200度预热，炸篮里铺锡纸，锡纸要长一些，放上腌制好的鸡肉 4.用锡纸全部盖住，烤制20分钟 
香酥烤鸡翅,新手尝试,家常味,<30分钟,鸡中翅10个 孜然粉1大匙香辣鸡翅调味粉2大匙酱油2大匙盐1/2小匙料酒1大匙植物油适量 ,1.鸡中翅清理干净，准备好材料 2.加入腌料腌制鸡翅1-2个小时 3.放在烤网上晾至鸡翅表皮干爽 4.放入daogrs M6s蒸烤箱中下层，无需预热，启动热风烧烤程序，设置190度烤制23分钟。如果是普通烤箱，可以先预热，然后用190度烤18分钟即可 5.烤完出炉就可以品尝香辣的鸡翅了 6.成品 
脆皮鸡翅,新手尝试,家常味,<30分钟,鸡中翅12个新奥尔良腌料1大勺甘汁园面包糠适量甘汁园玉米淀粉1小勺鸡蛋1个 盐适量鸡精少许酱油少许 ,1.鸡翅洗净沥干水，在背面画两刀放入碗中。 2.调入盐和鸡精，倒入酱油。 3.加入新奥尔良腌料和甘汁园玉米淀粉。 4.用手抓匀，包上保鲜膜放入冰箱冷藏入味2个钟头左右。 5.鸡蛋打散，将腌好的鸡翅裹上鸡蛋液。 6.再将鸡翅正反两面裹上甘汁园面包糠，这款面包糠无异味，好用。 7.码放入不粘烤盘中。 8.送入事先预热好的烤箱中层，上下火200度，20分钟。 9.取出鸡翅，逐个翻面。 10.再次送入烤箱中层，上下火200度，10-15分钟。 11.出炉后趁热食用，香脆可口！ 12.非常美味。 
香烤鸡翅根,,家常味,<30分钟,鸡翅根4只十三香适量生抽适量盐适量料酒适量 蜂蜜适量 ,1.洗干净的鸡翅根 2.放保鲜袋里里盐，生抽，蜂蜜 3.\n再加入料酒和十三香混合均匀，放冰箱冷藏室一夜入味 4.期间和两三个小时动一下，方便入味均匀！ 5.\n拿出入味的鸡翅根用锡箔纸包起来放预热好的烤箱内170度20分钟！上下火中层！ 6.\n时间到了之后把鸡翅根拿出来倒出多出的汤汁，再上面刷一层酱油和蜂蜜的混合液，再放入烤箱200度10分钟！上下火，中上层！ 
家常版烧鹅,初中水平,咸鲜味,<60分钟,鹅1/2只 芝麻油1/2茶匙食盐3茶匙五香粉1茶匙生抽4汤匙老抽1/2茶匙白糖1茶匙蒜5瓣麦芽糖1汤匙姜1小块水适量 ,1.半只鹅处理干净 2.把蒜和姜剁碎；用生抽、食盐、芝麻油、白糖、五香粉搅匀做腌味料 3.把姜、蒜和腌料倒在鹅上 4.用手把料汁抹均匀，并按摸一会儿，然后腌制约2小时，中途翻面并按摸 5.腌好后把鹅上的姜和蒜去掉，放在网上风干水份 6.风干后在鹅的上下刷上蜜汁，蜜汁用麦芽糖和温水调成 7.烤箱先预热两分钟，烤盘上铺上锡纸接油，把鹅放在烤网上，置烤箱上数第三层，上下火加热风，温度调至220度，先烤25分钟 8.取出把鹅翅和腿下面容易焦的部位用锡纸包起来，再刷一次蜜汁 9.接着入烤箱上下火210度再烤20分钟即可 
蜜汁叉烧肉,初中水平,家常味,<30分钟,猪肉1000克 白糖50克花雕酒3汤匙食盐3茶匙生抽3汤匙老抽1/2茶匙麦芽糖2汤匙蜂蜜2汤匙 ,1.把猪肉洗净沥干水份 2.猪肉切成约4指宽的长条，先加入白糖抓匀腌制至糖全部溶化，中途要翻动几回 3.依次加入花雕洒、食盐、生抽、老抽 4.用双手抓匀并按摩一会儿 5.把肉连同腌汁一起移入保鲜盒内，盖好入冰箱冷藏过夜 6.腌好的肉摊在烤网上稍微沥去酱汁 7.把蜂蜜和麦芽糖舀入碗内，隔水蒸至溶化 8.在肉的上下都刷上蜜汁 9.烤箱预热两分钟，烤盘上铺上锡纸接油，把烤网置上数第二层，上下火加热风，220度烤30分钟左右 10.烤好后取出，待温热时切块即可食用 
奥尔良烤鸡翅,,香辣味,<90分钟,鸡腿6个 土豆300克白洋葱120克胡萝卜20克柠檬片6片橄榄油30毫升（鸡腿10；土豆20）姜汁lj20毫升奥尔良鸡翅腌料90克 ,1.准备一盒冰鲜鸡腿。 2.鸡腿洗干净后用厨房纸巾拭干水份，并用叉子在鸡腿上多扎点孔，方便入味。 3.准备好调料。 4.放入奥尔良烤翅的调料粉。 5.拌匀 6.加入橄榄油 7.完全拌匀。 8.将白洋葱、土豆、胡萝卜切块。 9.放入奥尔良鸡翅腌料30g拌匀。 10.拌好的素菜平铺在烤盘底部。 11.鸡腿摆在最上面 12.放入200读提前预热的烤箱中，烤40分钟。取出翻个面继续烤了20分钟 
香肠烤土豆,,黑椒味,<60分钟,珍妮珍馐香肠4根土豆2个胡萝卜1根西兰花1颗 黑胡椒碎1勺罗勒碎1勺迷迭香1勺橄榄油适量盐适量奥尔良烤肉腌料1大勺 ,1.土豆和胡萝卜洗净去皮切成菱形块、西蓝花洗净切小朵。珍妮珍馐宝宝香肠自然解冻。 2.西蓝花用开水焯烫2分钟。 3.胡萝卜和土豆用开水焯烫5分钟。 4.焯烫好的食材全部平摊在烤盘中。 5.倒入橄榄油，撒入佐料，搅拌均匀。 6.烤箱预热5分钟，放入烤盘，设置上下管200度40分钟。 7.时间到后，拿出烤盘，把食材翻拌一下，放入宝宝香肠，继续烤制10分钟。 8.食用时可以把香肠改刀成方便食用的小块。 
烤肉拌饭,新手尝试,咸鲜味,<30分钟,五花肉400克米饭4碗鸡蛋4个圆葱1个生菜100克花生50克 奥尔良烧烤腌料20克老抽1小勺料酒1大勺蚝油1大勺清水1大勺沙拉酱适量 ,1.烤肉调料:奥尔良烧烤腌料20克、蚝油1大勺、老抽1小勺、料酒1大勺、清水1大勺将五花肉切成1厘米见方的小肉块；2.放入盆中，再放入烤肉腌料拌均匀腌制30分钟，最好放入保鲜袋冷藏过夜； 3.将烤盘铺上锡纸，放入腌好的五花肉块；4.烤箱预热下管180度，上管230度，放入中层烤制15分钟，肉上面微微带点焦色即可； 5.圆葱、生菜洗干净，花生准备好，一起放到菜板上；6.先用刀都切成小块，再混合在一起剁碎成小颗粒状；7.将米饭盛到大碗中，撒上厚厚的一层蔬菜花生碎，然后放上考好的五花肉丁和煎好的鸡蛋，吃的时候挤上沙拉酱拌匀即可。 
叉烧肉,,酱香味,<数小时,猪梅花肉500克白酒2汤匙白砂糖100克盐1茶匙花椒粉1/2茶匙芝麻油1/2茶匙蜂蜜2汤匙水1/2茶匙洋葱1/4个蒜瓣3个腐乳汁2汤匙腐乳块2块生抽3汤匙蚝油2汤匙 蜂蜜适量 ,1.2汤匙蜂蜜加入1/2茶匙水，搅拌均匀 2.洋葱切丝，蒜瓣拍松 3.取2块腐乳和2汤匙腐乳汁 4.用勺子把腐乳碾压碎 5.将生抽、蚝油、白酒、糖、盐、花椒粉和芝麻油放一起 6.再将洋葱、蒜瓣和腐乳汁放入，混合均匀后静置一刻钟 7.梅花肉洗净切开，用厨房纸吸干水分 8.用牙签在肉上扎些小孔，再在肉的表面切出几道口子，不要切断 9.把肉浸入酱汁中，放冰箱冷藏4～5小时 10.腌好的肉取出后，可再切小点，放在架子上，表面刷蜂蜜，烤箱200度，烤25min；取出翻面再刷蜂蜜，继续烤20min 11.烤好晾凉，冷却后切片 
蜜汁鸡肉串,初级入门,家常味,<15分钟,琵琶腿4只洋葱半个生姜1块大蒜5瓣 熟白芝麻1小把玉米淀粉1勺酱油2勺料酒1大勺白砂糖1小勺盐1小勺蜂蜜1大勺海鲜酱1勺甜面酱1小勺 ,1.准备食材。 2.鸡腿去骨，用刀背将鸡腿肉剁松。 3.将鸡腿肉连皮切成2厘米的方块状，放入碗中。 4.将洋葱、生姜、大蒜分别切碎放入鸡腿肉中，加入酱油、料酒、蚝油、糖、盐、淀粉。 5.抓匀以后腌制一个小时。 6.竹签用开水泡十分钟 7.将腌制入味的鸡肉块用竹签串起来，放入铺了油纸的烤盘里。 8.将海鲜酱、甜面酱和蜂蜜调匀成酱汁。 9.鸡肉串表面刷一层酱汁。 10.放入预热好的烤箱中，设置温度190度，时间15分钟。 11.烤至10分钟的时候，取出来翻面，再刷一层酱汁，继续烤5分钟，出炉后撒椒盐粉、辣椒粉、芝麻、葱花即可。 
脆皮烧肉,初级入门,家常味,<90分钟,带皮五花肉900克小葱 10克姜片 10克八角 5克小苏打 10克香叶3克 盐6克花生油 5克糖 3克黑椒粉2克酒 6克 ,1.各材料 2.烧沸一锅水，把清洗好的带皮五花肉、小葱、八角、姜片、香叶投在锅，把五花肉煮煮表面变色，7成熟，就把肉捞出，晾去水分 3.在晾去水分的带皮五花肉上用几支牙签不断地扎下小孔，扎的时候斜斜的方向，不是垂直，目的让肉的皮烤好后会香脆点 4.把扎好小孔的五花肉翻过来，切成九宫格那样子，深度约是肉的2/3左右，然后把调味料盐、黑椒、糖、五香粉均匀地涂抹在肉里，可以适当按摩一下肉 5.把五花的白肉那面朝下腌1小时左右，皮的上面涂上小苏打，最好放在有风的地方，让皮吹至干爽，这样做烤出来的皮会很脆的 6.把腌好的肉用锡纸封好肉，皮要露出来，烤箱预热到200度，把处理好的肉放入，烤30分钟左右，再取出五花肉，在上面涂上花生油 7.再次把五花肉放烤箱内，上火调至200度，下火调180度，继续烤20分钟，这时候你可以看到肉皮表面往外冒油，并有泡泡状的东西突起，就是说脆皮这一项成功了 8.脆皮烧肉要出炉喽，不过先不要急着吃，要晾凉，皮才会脆脆的 
香烤猪蹄,初级入门,家常味,<30分钟,猪蹄 500克 料酒、生抽、老抽、盐、白糖适量葱、姜、蒜、干辣椒适量孜然粉、白芝麻、椒盐适量 ,1.猪蹄洗净，剁成块；锅中加入冷水，下入猪蹄、姜片、料酒。 2.煮沸后，撇去浮沫，煮至变色取出。 3.锅中适量食用油，放入八角、香叶、葱段、姜片、干辣椒爆香，再倒入猪蹄煸炒几分钟，直至猪皮起泡为止。 4.倒入没过猪蹄的水量，加入生抽、老抽、料酒、盐、白糖。 5.大火煮开后转小火炖90分钟左右。（如果用高压锅的话，大概时间30分钟左右。） 6.将烤盘上铺上锡纸，并在锡纸上抹上一层薄薄的油，防止烤的时候猪蹄会粘在锡纸上，放上煮好的猪蹄。 7.把烤盘放入提前预热好的烤箱中，上下火200度，定时20分钟。 8.带上隔热手套，拖出烤盘。 9.撒上孜然粉、熟的白芝麻、椒盐，再烤2分钟即可取出食用。 
